query_id,bf_time,bf_memory,kd_time,kd_memory,kd_accuracy,bbf_time,bbf_memory,bbf_accuracy,file_id,dimensions,num_points
0,225532.05490112305,16384,6885.290145874023,0,1.0,9425.163269042969,0,1.0,1,8,100000
1,227643.25141906738,0,8754.968643188477,0,1.0,4901.17073059082,0,0.9962435,1,8,100000
2,226750.85067749023,0,643.0149078369141,0,1.0,9808.063507080078,0,0.6235558,1,8,100000
3,257197.14164733887,0,12305.259704589844,0,1.0,5755.901336669922,16384,0.49688125,1,8,100000
4,240597.96333312988,0,19203.18603515625,0,1.0,7575.750350952148,0,1.0,1,8,100000
5,221493.00575256348,0,858.7837219238281,0,1.0,8735.179901123047,0,0.60014063,1,8,100000
6,219527.9598236084,0,7302.284240722656,0,1.0,6194.114685058594,0,0.83588827,1,8,100000
7,220936.05995178223,16384,5835.056304931641,0,1.0,4208.803176879883,0,0.51376915,1,8,100000
8,218643.9037322998,0,1616.9548034667969,0,1.0,9701.967239379883,0,1.0,1,8,100000
9,256983.04176330566,0,1010.894775390625,0,1.0,16897.916793823242,16384,1.0,1,8,100000
10,218611.9556427002,0,4672.050476074219,0,1.0,9126.18637084961,0,0.67476165,1,8,100000
11,216543.91288757324,0,2310.2760314941406,0,1.0,7928.8482666015625,16384,1.0,1,8,100000
12,214660.1676940918,0,6873.846054077148,0,1.0,10507.10678100586,0,0.5498466,1,8,100000
13,243146.41952514648,0,933.8855743408203,0,1.0,8253.097534179688,0,1.0,1,8,100000
14,230409.8606109619,16384,19244.19403076172,0,1.0,11957.168579101562,0,1.0,1,8,100000
15,235588.07373046875,0,3387.928009033203,0,1.0,5680.084228515625,0,0.7291045,1,8,100000
16,218247.8904724121,0,1733.0646514892578,0,1.0,10797.739028930664,0,0.7692092,1,8,100000
17,214699.98359680176,0,8152.008056640625,0,1.0,10469.198226928711,0,1.0,1,8,100000
18,217639.20783996582,0,1615.762710571289,0,1.0,7307.767868041992,0,0.45013544,1,8,100000
19,246370.79238891602,0,16556.0245513916,0,1.0,5028.963088989258,0,0.71064514,1,8,100000
20,259254.21714782715,0,1640.7966613769531,0,1.0,7392.168045043945,0,0.52307963,1,8,100000
21,258574.0089416504,32768,8528.947830200195,0,1.0,10093.927383422852,0,1.0,1,8,100000
22,226176.02348327637,0,5047.798156738281,0,1.0,9588.003158569336,0,1.0,1,8,100000
23,220953.94134521484,0,11839.151382446289,0,1.0,8282.899856567383,0,0.5092394,1,8,100000
24,221425.29487609863,0,5334.138870239258,0,1.0,8045.91178894043,0,0.8200913,1,8,100000
